"tree_id","latitude","longitude","tree_dbh","spc_common","health"
"170460","40.70868098","-74.01836049","8","Japanese zelkova","Good"
"170459","40.7088087","-74.01833042","8","Japanese zelkova","Good"
"170461","40.70863314","-74.01832189","8","Japanese zelkova","Good"
"170458","40.70884544","-74.01827936","9","Japanese zelkova","Good"
"170462","40.70860048","-74.01826841","7","Japanese zelkova","Good"
"170457","40.7088611","-74.0182214","7","Japanese zelkova","Good"
"170463","40.70858647","-74.01820581","7","Japanese zelkova","Good"
"170464","40.70859119","-74.01814005","7","Japanese zelkova","Good"
"170465","40.70861933","-74.01807269","8","Japanese zelkova","Good"
"170456","40.70878241","-74.01802606","4","Japanese zelkova","Good"
"170455","40.70875839","-74.01796932","4","Japanese zelkova","Good"
"444824","40.70632115","-74.01796687","11","willow oak","Good"
"170313","40.70936167","-74.01795449","6","Callery pear","Good"
"170472","40.70860109","-74.01792919","12","Japanese zelkova","Good"
"444825","40.70644106","-74.01791594","8","willow oak","Good"
"282736","40.70575212","-74.01790812","9","honeylocust","Good"
"170314","40.70930313","-74.01789985","6","Callery pear","Good"
"282734","40.70594095","-74.01789919","9","honeylocust","Good"
"170454","40.70872609","-74.01789305","4","Japanese zelkova","Poor"
"282739","40.70556657","-74.01787884","8","honeylocust","Good"
"282735","40.70589157","-74.01787231","9","honeylocust","Good"
"282737","40.70570627","-74.01787079","9","honeylocust","Good"
"170312","40.70957641","-74.01785808","8","Callery pear","Good"
"282738","40.705617","-74.01785595","9","honeylocust","Good"
"282733","40.7059835","-74.01785518","8","honeylocust","Good"
"170509","40.70798462","-74.0178536","10","Japanese zelkova","Good"
"170510","40.70793564","-74.01785188","13","Japanese zelkova","Good"
"170453","40.70870127","-74.01783442","8","Japanese zelkova","Good"
"282740","40.70552874","-74.01783322","9","honeylocust","Good"
"170508","40.70803253","-74.01782954","6","Japanese zelkova","Good"
"282566","40.70700206","-74.01782404","10","honeylocust","Good"
"170315","40.70927228","-74.01781962","8","Callery pear","Good"
"282460","40.70630799","-74.01781825","5","willow oak","Good"
"444826","40.70663","-74.01781459","11","willow oak","Good"
"282742","40.7054001","-74.0178101","9","honeylocust","Good"
"282529","40.70686979","-74.01780563","9","sawtooth oak","Good"
"282741","40.70545459","-74.01780457","10","honeylocust","Good"
"170507","40.70807232","-74.01779961","11","Japanese zelkova","Good"
"283477","40.70934598","-74.01778829","7","littleleaf linden","Good"
"170452","40.70867725","-74.01777769","5","Japanese zelkova","Good"
"283647","40.70951373","-74.01776575","9","Callery pear","Good"
"170311","40.70959204","-74.01776354","5","Callery pear","Good"
"170181","40.71037443","-74.01776297","7","northern red oak","Good"
"282461","40.70636127","-74.01775947","5","honeylocust","Fair"
"282462","40.70644009","-74.0177559","5","willow oak","Good"
"282743","40.70536814","-74.0177538","10","honeylocust","Good"
"170180","40.71044135","-74.01774308","11","northern red oak","Good"
"170506","40.70815522","-74.01773726","8","Japanese zelkova","Good"
"170316","40.7092461","-74.01773574","9","Callery pear","Good"
"444827","40.70675952","-74.01772478","11","willow oak","Good"
"170179","40.71049507","-74.01772433","12","northern red oak","Good"
"283476","40.7093248","-74.0177194","7","littleleaf linden","Good"
"170451","40.70865189","-74.01771781","6","Japanese zelkova","Good"
"170310","40.70958042","-74.0177091","7","Callery pear","Good"
"170505","40.70819667","-74.01770609","10","Japanese zelkova","Good"
"170511","40.70784872","-74.0177054","11","honeylocust","Good"
"282744","40.70530114","-74.01770477","9","honeylocust","Good"
"282745","40.70524814","-74.01770122","9","honeylocust","Good"
"282463","40.7064768","-74.01769781","5","honeylocust","Fair"
"282567","40.70694962","-74.01769523","12","honeylocust","Good"
"282464","40.70656338","-74.01768325","5","willow oak","Good"
"283648","40.70949459","-74.01768292","7","Callery pear","Good"
"170504","40.70823764","-74.01767527","11","Japanese zelkova","Good"
"170450","40.70862867","-74.01766296","7","Japanese zelkova","Good"
"170317","40.70922186","-74.01765681","9","Callery pear","Good"
"283475","40.70930383","-74.01765117","9","littleleaf linden","Good"
"170512","40.70785726","-74.01764791","7","honeylocust","Good"
"170503","40.70827766","-74.01764517","11","Japanese zelkova","Good"
"170178","40.71049332","-74.01764367","11","northern red oak","Good"
"282746","40.70522588","-74.01764009","8","honeylocust","Good"
