"tree_id","latitude","longitude","tree_dbh","spc_common","health"
"182261","40.74638074","-73.99121011","2","Sophora","Fair"
"73491","40.73475714","-73.99665054","26","black walnut","Good"
"208648","40.76274911","-73.98735653","9","American linden","Good"
"198959","40.76323884","-73.98896255","13","Callery pear","Good"
"198948","40.76213929","-73.9878568","7","Sophora","Good"
"206380","40.73806847","-73.98061081","9","honeylocust","Good"
"195250","40.73593186","-73.99969807","7","ginkgo","Fair"
"176843","40.74013566","-73.97744075","15","mulberry","Good"
"198952","40.76253014","-73.98878529","3","Japanese zelkova","Fair"
"197780","40.75030163","-73.9752872","7",,
"198336","40.74421095","-73.98029836","13","pin oak","Fair"
"172417","40.73042497","-73.98339589","3","sawtooth oak","Good"
"173201","40.73630834","-74.00351888","9","Sophora","Good"
"195254","40.73610497","-74.00010868","12","Sophora","Good"
"182330","40.74571646","-73.99089075","4","littleleaf linden","Fair"
"178626","40.74739401","-73.97887588","8","pin oak","Fair"
"173736","40.73705119","-74.00249972","10","green ash","Good"
"141352","40.75687382","-73.99853915","4","swamp white oak","Good"
"175594","40.76283176","-73.96394042","6","littleleaf linden","Good"
"189964","40.76375539","-73.96420398","9","Sophora","Good"
"73131","40.72824277","-73.99403662","2","black locust","Good"
"206712","40.73903559","-73.97792121","7","Callery pear","Good"
"208519","40.76504356","-73.99084689","23","Callery pear","Good"
"176840","40.74029318","-73.97732608","2",,
"198953","40.76264979","-73.98906953","0",,
"132942","40.76197391","-73.97046174","4","hawthorn","Good"
"198983","40.76224191","-73.98781063","14","Callery pear","Good"
"198984","40.76221801","-73.98775377","13","Callery pear","Good"
"160786","40.72879706","-73.97882248","3","Amur maple","Good"
"177220","40.73835063","-73.98178513","4","littleleaf linden","Poor"
"196064","40.76150253","-73.98799549","4","Japanese zelkova","Good"
"178670","40.74403913","-73.98132351","9","green ash","Good"
"178579","40.7483552","-73.97817576","0",,
"178628","40.74725406","-73.97897864","8","pin oak","Good"
"175358","40.76773347","-73.98968926","8","Norway maple","Good"
"208532","40.76423597","-73.98893029","4","ginkgo","Good"
"178648","40.74540176","-73.9803292","5","ginkgo","Good"
"195996","40.74491073","-73.98608852","3","honeylocust","Fair"
"200470","40.75761084","-73.98295012","4","ginkgo","Good"
"187230","40.75230061","-73.97975264","4","honeylocust","Fair"
"195534","40.7352826","-74.00020241","14","Sophora","Fair"
"173632","40.73603877","-74.00412395","10","green ash","Good"
"173732","40.736984","-74.00296704","13","green ash","Good"
"115829","40.74605142","-74.00179339","2","golden raintree","Good"
"210558","40.7669744","-73.98574516","6","honeylocust","Good"
"178649","40.74524219","-73.98044348","4","ginkgo","Poor"
"196032","40.74659951","-73.98042948","12","Sophora","Fair"
"173518","40.73521422","-74.00574681","14","ginkgo","Good"
"173520","40.73526702","-74.00539051","7","ginkgo","Good"
"198115","40.74460366","-73.98150895","11","littleleaf linden","Good"
"160779","40.72925837","-73.97991368","10","littleleaf linden","Good"
"178625","40.74747069","-73.97881957","7","pin oak","Fair"
"176352","40.73608757","-73.98049342","8","Callery pear","Fair"
"208522","40.76489056","-73.99048378","25","Callery pear","Good"
"196026","40.7468674","-73.98106569","4","Callery pear","Poor"
"196076","40.76239058","-73.9895937","13","Callery pear","Good"
"73247","40.72658437","-73.99887375","3","golden raintree","Good"
"194682","40.7370324","-74.00005881","5","littleleaf linden","Poor"
"200492","40.75760112","-73.98262967","4","Callery pear","Poor"
"200494","40.75775098","-73.98298348","4","Callery pear","Fair"
"197939","40.74922128","-73.9768446","14","Callery pear","Good"
"173527","40.73687667","-74.00309731","12","London planetree","Good"
"173529","40.73692076","-74.00279391","20","willow oak","Good"
"196071","40.76207846","-73.98936274","12","Japanese zelkova","Poor"
"173519","40.73523731","-74.00559098","8","ginkgo","Good"
"175287","40.76769755","-73.99133521","3","Norway maple","Good"
"208482","40.76395405","-73.99186189","9","Japanese zelkova","Good"
"174290","40.75348443","-73.96628171","3",,
"208639","40.76321165","-73.98845564","7",,
"176583","40.73658413","-73.98003215","2","Kentucky coffeetree","Good"
"178574","40.74871474","-73.97791498","9","willow oak","Good"
"208644","40.76305083","-73.98807348","4","American linden","Good"
"176355","40.73577654","-73.97975879","11","honeylocust","Good"
"208643","40.76307475","-73.98813033","3","pin oak","Good"
"176351","40.73613029","-73.98059431","9","Callery pear","Good"
"176353","40.73603551","-73.98037045","9","Callery pear","Poor"
"208528","40.76445151","-73.9894418","8","Sophora","Good"
"192381","40.75145682","-73.99152953","12","Callery pear","Good"
"208523","40.76483867","-73.99036063","4","mulberry","Fair"
"210559","40.76705506","-73.98593649","8","honeylocust","Good"
"173659","40.736464","-74.00365823","16","honeylocust","Good"
"176354","40.73589","-73.98002679","11","honeylocust","Good"
"173521","40.73528675","-74.00525734","10","ginkgo","Poor"
"208658","40.76237428","-73.98646588","7","Callery pear","Good"
"178571","40.74913941","-73.97760632","12","American elm","Good"
"160783","40.72897625","-73.97924634","11","pin oak","Fair"
"174273","40.75344147","-73.96694052","8","pin oak","Good"
"103184","40.72921156","-73.9853541","8","Japanese tree lilac","Good"
"192502","40.73522642","-74.00106854","5","Callery pear","Good"
"208660","40.76232377","-73.98634587","7","Callery pear","Good"
"198340","40.74403322","-73.97987581","12","pin oak","Good"
"160747","40.73080573","-73.98592896","10","honeylocust","Good"
"196069","40.76194811","-73.98905329","11","pin oak","Good"
"182259","40.74700749","-73.99270876","4","Sophora","Good"
"208517","40.76513137","-73.99105529","12","Sophora","Good"
"208531","40.76431181","-73.98911027","11","Sophora","Good"
"209603","40.72607101","-74.00141398","8","Sophora","Good"
"208518","40.76509278","-73.99096372","11","Sophora","Good"
"211687","40.72975033","-74.00406977","5",,
"176841","40.74025236","-73.9773558","15","mulberry","Good"
"73349","40.73484681","-73.995151","13","black walnut","Good"
"174289","40.75340991","-73.96633572","3","Callery pear","Good"
"208651","40.76258163","-73.98695858","16","Callery pear","Good"
"208655","40.76245536","-73.98665854","9","Callery pear","Fair"
"202335","40.72706628","-73.9913149","19","Callery pear","Good"
"206713","40.73900443","-73.97784655","8","Callery pear","Fair"
"206715","40.73896561","-73.97775354","6","Callery pear","Good"
"174882","40.75347927","-73.96534989","8","ginkgo","Good"
"175457","40.72889574","-73.97876658","11","pin oak","Good"
"203260","40.73332564","-73.98528062","5","littleleaf linden","Good"
"102348","40.72833655","-73.98168446","14","black locust","Good"
"175279","40.76822825","-73.99259935","3","silver maple","Good"
"192501","40.73523725","-74.00099706","18","Callery pear","Good"
"208646","40.76290196","-73.98771974","10","Callery pear","Good"
"198985","40.76219012","-73.98768742","10","Callery pear","Good"
"175335","40.74820468","-73.98622761","2","river birch","Good"
"175452","40.7292061","-73.97950244","12","green ash","Good"
"173827","40.73569261","-74.00333878","2","ginkgo","Good"
"168674","40.72888877","-73.97697363","2","golden raintree","Good"
"123879","40.76344853","-73.96941187","3","hawthorn","Good"
"174282","40.75388413","-73.96799826","11","honeylocust","Good"
"175590","40.76298832","-73.96431125","6","littleleaf linden","Good"
"204920","40.73663365","-73.97771678","6","littleleaf linden","Fair"
"206702","40.73937689","-73.97873901","12","honeylocust","Good"
"178405","40.73315593","-73.97573348","16","London planetree","Fair"
"211690","40.72960397","-74.00453604","13","honeylocust","Good"
"196073","40.7621556","-73.98954588","7","honeylocust","Good"
"178404","40.73320114","-73.97584039","18","London planetree","Fair"
"173522","40.73529787","-74.00518225","11","ginkgo","Fair"
"173473","40.7361777","-74.00387646","15","honeylocust","Good"
"173631","40.73602867","-74.00419709","8","green ash","Good"
"177076","40.73595577","-73.97656582","9","green ash","Good"
"204949","40.73598321","-73.97520909","0",,
"173826","40.73577249","-74.00336196","2","ginkgo","Good"
"210643","40.76649635","-73.98626015","10","honeylocust","Good"
"206697","40.73963673","-73.97936162","11","honeylocust","Good"
"206699","40.73955698","-73.97917053","12","honeylocust","Good"
"210645","40.76633569","-73.98587867","10","honeylocust","Good"
"206418","40.73829461","-73.97996779","9","honeylocust","Good"
"195997","40.7449453","-73.98617143","3","honeylocust","Fair"
"210644","40.76638118","-73.98598667","12","honeylocust","Good"
"174127","40.75285588","-73.96657044","14","honeylocust","Good"
"196068","40.76185634","-73.98883541","14","honeylocust","Good"
"174276","40.75358572","-73.96728519","12","ginkgo","Good"
"175542","40.7283556","-73.97873074","13","ginkgo","Fair"
"196050","40.74664744","-73.98445741","2","ginkgo","Fair"
"174283","40.75393997","-73.9681317","12","honeylocust","Good"
"174275","40.75354509","-73.96718811","10","ginkgo","Poor"
"174277","40.75362753","-73.96738512","10","ginkgo","Good"
"178406","40.73310979","-73.97562436","18","London planetree","Good"
"211691","40.72957256","-74.0046361","9","honeylocust","Good"
"196072","40.76210506","-73.98942589","4","honeylocust","Fair"
"192330","40.74796711","-73.99525205","8","honeylocust","Good"
"198193","40.74470525","-73.98148869","10","Japanese zelkova","Good"
"206700","40.73952503","-73.97909397","12","honeylocust","Fair"
"198194","40.74466182","-73.98138501","7","northern red oak","Good"
"206489","40.73942097","-73.98072962","11","ginkgo","Poor"
"206581","40.73889317","-73.98111968","8","American linden","Fair"
"197448","40.74331987","-73.98010379","9","honeylocust","Good"
"208525","40.76458056","-73.98974808","0",,
"177232","40.73670459","-73.97881952","4","pin oak","Good"
"175545","40.72857716","-73.97857001","4","ginkgo","Good"
"206506","40.73900105","-73.97973807","8","honeylocust","Good"
