"the_geom","borocode","boroname","borocd","coundist","assemdist","stsendist","congdist","category","nearest_add","on_street","from_street","to_street","side_of_st","installation_date","asset_id","asset_subtype","latitude","longitude","siteid","ntaname","femafldz","femafldt","hrcevac"
"POINT (-74.10219252549204 40.63089976280271)","5","Staten Island","501","49","63","24","11",,"386 Forest Avenue","Forest Avenue","Sharon Avenue","Oakwood Avenue","S","2025-03-12T00:00:00.000","Color: Black ()","BACKLESS 2.0","40.630908","-74.102194","SEAT.2024.0660","West New Brighton-Silver Lake-Grymes Hill","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.98394856076564 40.680354749121)","3","Brooklyn","306","39","52","26","10",,"181 3 Avenue","3 Avenue","Douglass Street","Butler Street","E","2025-09-18T00:00:00.000","Color: Leaning Bar ()","LEANING BAR","40.680363","-73.98395","SEAT.2025.0548","Carroll Gardens-Cobble Hill-Gowanus-Red Hook","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.89030957976252 40.86125171089875)","2","Bronx","206","15","78","33","15",,"401 E Fordham Road","E Fordham Road","Bathgate Avenue","Webster Avenue","N","2024-03-22T00:00:00.000","Color: Black (BL2-2023-1863)","BACKLESS 2.0","40.86126","-73.890311","SEAT.2024.0018","Belmont","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.90511457573746 40.839550715378344)","2","Bronx","203","16","79","32","15",,"1538 Webster Avenue","Claremont Parkway","Webster Avenue","Brook Avenue","S","2024-06-05T00:00:00.000","Color: Silver (BL2-2018-0596)","BACKLESS 2.0","40.839559","-73.905116","SEAT.2024.0157","Claremont Village-Claremont (East)","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.93820456560161 40.84608571519757)","1","Manhattan","112","10","72","31","13",,"4140 Broadway PLAZA","W 175 Street","Broadway","Wadsworth Avenue","W","2015-12-01T00:00:00.000","Color: Silver (BB1-2015-9007)","BACKED 1.0","40.846094","-73.938206","SEAT.2015.0195","Washington Heights (South)","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.89705291645542 40.8625270641883)","2","Bronx","207","15","78","33","13",,,"E Fordham Road","Grand Concourse","Grand Concourse","N","2013-02-07T00:00:00.000","Color: Silver (BB1-2013-0893)","BACKED 1.0","40.86253535","-73.89705434","SEAT.2013.0096","University Heights (North)-Fordham","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.86074828875205 40.75591412313658)","4","Queens","403","21","35","13","14",,"34-10 108 Street","108 Street","34 Avenue","37 Avenue","W","2016-09-07T00:00:00.000","Color: Silver (BL1-2016-1382)","BACKLESS 1.0","40.75592239","-73.86074969","SEAT.2016.0143","North Corona","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.77985962398407 40.71347573554598)","4","Queens","412","23","29","11","5",,"88-15 182 Street","Hillside Avenue","182 Street","182 Place","S","2025-09-29T00:00:00.000","Color: Leaning Bar ()","LEANING BAR","40.713484","-73.779861","SEAT.2025.0601","Jamaica","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.79348162012452 40.710641736510944)","4","Queens","408","24","29","11","5",,"168-39 Hillside Avenue","Hillside Avenue","169 Street","168 Place","N","2025-09-26T00:00:00.000","Color: Black ()","BACKLESS 2.0","40.71065","-73.793483","SEAT.2025.0590","Jamaica Hills-Briarwood","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.97952355979248 40.72331874079944)","1","Manhattan","103","2","74","27","10",,"77 Avenue C","Avenue C","E 6 Street","E 5 Street","W","2023-01-25T00:00:00.000","Color: Leaning Bar (LB-EMP2019-0013)","LEANING BAR","40.723327","-73.979525","SEAT.2023.0020","East Village","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","2"
"POINT (-73.92970849023986 40.68664554886726)","3","Brooklyn","303","36","56","25","8",,"191 Malcolm X Boulevard","Malcolm X Boulevard","Putnam Avenue","Madison Street","E","2012-04-30T00:00:00.000","Color: Silver (BL1-2012-0045)","BACKLESS 1.0","40.6866538","-73.92970991","SEAT.2012.0023","Bedford-Stuyvesant (East)","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.91397258142038 40.709822740980734)","4","Queens","405","34","37","12","7",,"323 Woodward Avenue","Woodward Avenue","Dekalb Avenue","Hart Street","N","2025-02-27T00:00:00.000","Color: Black ()","BACKED 2.0","40.709831","-73.913974","SEAT.2024.0637","Ridgewood","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.9384825661149 40.83750971718091)","1","Manhattan","112","10","72","31","13",,"2109 Amsterdam Avenue","Amsterdam Avenue","W 164 Street","W 165 Street","E","2025-03-26T00:00:00.000","Color: Black ()","BACKLESS 2.0","40.837518","-73.938484","SEAT.2024.0067","Washington Heights (South)","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.90460074132801 40.862624488635504)","2","Bronx","207","14","86","31","13",,"84 W Fordham Road","W Fordham Road","University Avenue","Grand Avenue","S","2024-03-22T00:00:00.000","Color: Black (BL2-2023-1470)","BACKLESS 2.0","40.86263278","-73.90460217","SEAT.2023.0245","University Heights (North)-Fordham","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.89931357635456 40.85873071141505)","2","Bronx","205","14","86","33","13",,"2345 Grand Concourse","Grand Concourse","E 184 Street","Field Place","E","2023-05-01T00:00:00.000","Color: Silver (BB2-2023-1178)","BACKED 2.0","40.858739","-73.899315","SEAT.2023.0859","Fordham Heights","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.92176958088379 40.66406975048991)","3","Brooklyn","316","41","55","19","9",,"123 E 98 Street","E 98 Street","Blake Avenue","Ralph Avenue","E","2023-09-03T00:00:00.000","Color: Black (BL2-2023-0770)","BACKLESS 2.0","40.664078","-73.921771","SEAT.2023.0733","Brownsville","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.9845232774676 40.67144522984654)","3","Brooklyn","306","39","52","26","10",,"368 5 Avenue","5 Avenue","5 Street","6 Street","W","2013-01-16T00:00:00.000","Color: Silver (BL1-2013-0520)","BACKLESS 1.0","40.67145348","-73.98452472","SEAT.2013.0041","Park Slope","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.95632553604831 40.652381394395135)","3","Brooklyn","314","40","43","20","9",,"70 Linden Blvd","Linden Boulevard","Caton Avenue","Bedford Avenue",,"2017-08-23T00:00:00.000","Color: Silver (BB1-2017-0304)","BACKED 1.0","40.65238964","-73.95632696","SEAT.2017.0223","Flatbush","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.89864658809839 40.67535874688934)","3","Brooklyn","305","37","55","19","7",,"61 Georgia Avenue","Georgia Avenue","Liberty Avenue","Atlantic Avenue","E","2025-02-21T00:00:00.000","Color: Black ()","BACKED 2.0","40.675367","-73.898648","SEAT.2025.0018","East New York (North)","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.88381058931319 40.733376735412165)","4","Queens","404","30","30","12","6",,"83-12 Grand Avenue","Grand Avenue","83 Street","84 Street","E","2023-09-02T00:00:00.000","Color: Black (BL2-2023-1551)","BACKLESS 2.0","40.733385","-73.883812","SEAT.2023.0749","Elmhurst","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.88478237943959 40.74579184780445)","4","Queens","404","25","39","13","6",,"80-98 41st Avenue","41 Avenue","80 Street","81 Street",,"2017-06-28T00:00:00.000","Color: Silver (BB2-2017-0143)","BACKED 2.0","40.74580012","-73.88478379","SEAT.2017.0131","Elmhurst","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.98822327735776 40.67117224643178)","3","Brooklyn","306","39","52","26","10",,"426 4 Avenue","4 Avenue","7 Street","8 Street",,"2014-01-14T00:00:00.000","Color: Silver (BB1-2014-1363)","BACKED 1.0","40.6711805","-73.98822472","SEAT.2014.0016","Carroll Gardens-Cobble Hill-Gowanus-Red Hook","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.87922826678495 40.840224801469624)","2","Bronx","206","15","87","32","15",,"1065 East Tremont Avenue","E Tremont Avenue","Bronx Street","Boston Road","N","2014-12-18T00:00:00.000","Color: Silver (BL1-2014-1199)","BACKLESS 1.0","40.84023309","-73.87922968","SEAT.2014.0401","West Farms","X","AREA OF MINIMAL FLOOD HAZARD","3"
"POINT (-73.97775856241698 40.689810746710535)","3","Brooklyn","302","35","57","25","7",,"117 Dekalb Avenue","Dekalb Avenue","Washington Park","Ashland Place","N","2025-11-04T00:00:00.000","Color: Black ()","BACKED 2.0","40.689819","-73.97776","SEAT.2025.0759","Fort Greene","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.80539061663123 40.70105473887089)","4","Queens","412","27","32","14","5",,"148-18 Archer Avenue","Archer Avenue","Sutphin Boulevard","150 Street","S","2024-06-19T00:00:00.000","Color: Leaning Bar (LB-EMP2023-0019)","LEANING BAR","40.701063","-73.805392","SEAT.2024.0378","Jamaica","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.82572666659827 40.68998285319943)","4","Queens","409","29","24","15","5",,"119-02 101 Avenue","101 Avenue","Lefferts Boulevard","120 Street","S","2023-06-24T00:00:00.000","Color: Leaning Bar (LB-EMP2022-0008)","LEANING BAR","40.68999111","-73.82572806","SEAT.2023.0124","South Richmond Hill","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.90346647663534 40.74114134940924)","4","Queens","402","26","30","12","7",,"61-10 Queens Boulevard","Queens Boulevard","60 Street","61 Street",,"2014-02-05T00:00:00.000","Color: Silver (BB1-2014-0839)","BACKED 1.0","40.74114961","-73.90346789","SEAT.2014.0035","Woodside","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-74.0079493459195 40.727434442057536)","1","Manhattan","102","3","66","27","10",,"103 Charlton Street","Charlton Street","Hudson Street","Greenwich Street","N","2012-10-24T00:00:00.000","Color: Silver ()","BACKED 1.0","40.7274427","-74.0079508","SEAT.2012.0185","SoHo-Little Italy-Hudson Square","X","AREA OF MINIMAL FLOOD HAZARD","2"
"POINT (-73.9368851935786 40.84706227378753)","1","Manhattan","112","10","72","31","13",,"618 W 177 Street","Wadsworth Avenue","Wadsworth Avenue","St. Nicholas Avenue","E","2017-08-01T00:00:00.000","Color: Silver (BB1-2017-0223)","BACKED 1.0","40.84707056","-73.93688663","SEAT.2017.0190","Washington Heights (South)","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.8914265816295 40.82067771830822)","2","Bronx","202","17","85","32","14",,"925 Hunts Point Avenue","Hunts Point Avenue","Southern Boulevard","Bruckner Boulevard","W","2026-03-18T00:00:00.000","Color: Black ()","BACKLESS 2.0","40.820686","-73.891428","SEAT.2026.0715","Hunts Point","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.93955451777431 40.74999520013824)","4","Queens","402","26","36","59","7",,"27-10 Queens Plaza South","Queens Plaza South","27 Street","28 Street","S","2017-01-23T00:00:00.000","Color: Silver (BL2-2017-0077)","BACKLESS 2.0","40.75000347","-73.93955595","SEAT.2017.0006","Long Island City-Hunters Point","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.97996343475995 40.60508113043995)","3","Brooklyn","311","43","47","17","9",,"284 Kings Highway","Kings Highway","W 6 Street","W 7 Street","S","2014-07-15T00:00:00.000","Color: Silver (BB1-2014-1350)","BACKED 1.0","40.60508937","-73.97996487","SEAT.2014.0195","Gravesend (West)","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.9422929711293 40.831377015307645)","1","Manhattan","112","10","71","31","13",,"458 W 155 Street","W 155 Street","St. Nicholas Avenue","Amsterdam Avenue","N","2018-08-01T00:00:00.000","Color: Silver (BL1-2018-0611)","BACKLESS 1.0","40.8313853","-73.94229441","SEAT.2018.0176","Washington Heights (South)","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.97239955728097 40.79614472578231)","1","Manhattan","107","7","69","47","12",,"760 West End Avenue","West End Avenue","W 97 Street","W 98 Street","E","2025-04-24T00:00:00.000","Color: Black ()","BACKED 2.0","40.796153","-73.972401","SEAT.2024.0600","Upper West Side (Central)","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.90458757525488 40.85082471275114)","2","Bronx","205","15","86","32","15",,"1964 Grand Concourse","Grand Concourse","E 178 Street","E 179 Street","E","2023-04-01T00:00:00.000","Color: Silver (BL2-2023-1125)","BACKLESS 2.0","40.850833","-73.904589","SEAT.2023.0892","Mount Hope","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.8806229647206 40.741379699928004)","4","Queens","404","25","30","12","6",,"8290 Broadway","Broadway","Whitney Avenue","45 Avenue","S","2019-01-24T00:00:00.000","Color: Silver (BB2-2019-0647)","BACKED 2.0","40.74138797","-73.88062438","SEAT.2019.0005","Elmhurst","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.98309955757772 40.74051173692361)","1","Manhattan","106","2","74","59","12",,"141 E 25 Street","E 25 Street","3 Avenue","Lexington Avenue",,"2021-10-01T00:00:00.000","Color: Silver (BB-2021-0783)","BACKED 2.0","40.74052","-73.983101","SEAT.2021.0018","Gramercy","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.90482257224647 40.904263702813964)","2","Bronx","208","11","81","33","15",,"5600 Riverdale Avenue","Riverdale Avenue","W 256 Street","W 258 Street","E","2025-09-09T00:00:00.000","Color: Black ()","BACKLESS 2.0","40.904272","-73.904824","SEAT.2025.0430","Riverdale-Spuyten Duyvil","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.85832861416257 40.84500728071447)","2","Bronx","211","13","82","33","14",,"1640 Bronxdale Avenue","Bronxdale Avenue","Van Nest Avenue","Pierce Avenue","E","2014-08-05T00:00:00.000","Color: Silver (BB1-2014-2708)","BACKED 1.0","40.84501557","-73.85833002","SEAT.2014.0233","Morris Park","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.99230956107539 40.634164758443774)","3","Brooklyn","312","44","48","22","10",,"4921 13 Avenue","50 Street","13 Avenue","14 Avenue","S","2023-08-09T00:00:00.000","Color: Black (BL2-2023-1296)","BACKLESS 2.0","40.634173","-73.992311","SEAT.2023.0484","Borough Park","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.83069860457648 40.766801727075325)","4","Queens","407","20","40","16","6",,"13621 Latimer Place","Latimer Place","137 Street","Linden Place","N","2025-06-27T00:00:00.000","Color: Black ()","BACKED 2.0","40.76681","-73.8307","SEAT.2025.0171","Flushing-Willets Point","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","3"
"POINT (-73.93047957883313 40.651509753165854)","3","Brooklyn","317","45","58","21","9",,"880 Utica Avenue","Utica Avenue","Church Avenue","Synder Avenue","W","2020-03-26T00:00:00.000","Color: Silver (BL2-2020-0642)","BACKLESS 2.0","40.651518","-73.930481","SEAT.2020.0007","East Flatbush-Rugby","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.99789477177254 40.74493974518065)","1","Manhattan","104","3","75","47","12",,"260 W 23 Street","W 23 Street","8 Avenue","7 Avenue","S","2012-12-19T00:00:00.000","Color: Silver (BL1-2012-1801)","BACKLESS 1.0","40.74494801","-73.99789622","SEAT.2012.0201","Chelsea-Hudson Yards","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.95809037044995 40.768977135551815)","1","Manhattan","108","5","76","28","12",,"1396 2nd Avenue","2 Avenue","E 73 Street","E 72 Street","E","2017-07-05T00:00:00.000","Color: Silver (BB2-2017-0176)","BACKED 2.0","40.76898541","-73.95809181","SEAT.2017.0171","Upper East Side-Lenox Hill-Roosevelt Island","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.97357156616812 40.63251775815774)","3","Brooklyn","314","40","48","21","9",,"4006 18 Avenue","18 Avenue","E 5 Street","E 4 Street","N","2023-08-07T00:00:00.000","Color: Silver (BL2-2023-1877)","BACKLESS 2.0","40.632526","-73.973573","SEAT.2023.0424","Kensington","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.88243855078431 40.75596462737764)","4","Queens","403","25","34","13","14",,"85-01 Northern Boulevard","Northern Boulevard","85 Street","86 Street",,"2013-09-30T00:00:00.000","Color: Silver (BB1-2013-0955)","BACKED 1.0","40.7559729","-73.88243996","SEAT.2013.0443","Jackson Heights","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.84402759701746 40.82762971526337)","2","Bronx","209","18","87","34","14",,"945 Zerega Avenue","Bruckner Boulevard","Havemeyer Avenue","Zerega Avenue","S","2026-03-16T00:00:00.000","Color: Black ()","BACKLESS 2.0","40.827638","-73.844029","SEAT.2026.0046","Castle Hill-Unionport","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.83115782616858 40.70589357577998)","4","Queens","409","29","28","14","5",,"119-20 Metropolitan Avenue","Metropolitan Avenue","Lefferts Blvd","Brevoort Street","S","2017-05-13T00:00:00.000","Color: Silver (BB2-2017-0073)","BACKED 2.0","40.70590184","-73.83115922","SEAT.2017.0085","Kew Gardens","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.81381761249098 40.71882873568994)","4","Queens","408","24","27","14","6",,"149-01 Union Turnpike","149 Street","Union Turnpike","79 Avenue","E","2025-06-30T00:00:00.000","Color: Black ()","BACKED 2.0","40.718837","-73.813819","SEAT.2025.0077","Kew Gardens Hills","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.92044795055045 40.743654310565375)","4","Queens","402","26","37","12","7",,"44-01 44 Street","44 Street","Queens Boulevard","43 Avenue","E","2013-07-26T00:00:00.000","Color: Silver (BB1-2013-0689)","BACKED 1.0","40.74366258","-73.92044937","SEAT.2013.0344","Sunnyside","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.8743015866408 40.829358715747105)","2","Bronx","209","18","85","34","14",,"1620 Westchester Avenue","Morrison Avenue","Harrod Place","Westchester Avenue","E","2022-08-01T00:00:00.000","Color: Silver (BB2-2022-1222)","BACKLESS 2.0","40.829367","-73.874303","SEAT.2022.0032","Soundview-Bruckner-Bronx River","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","4"
"POINT (-73.98462755567277 40.75387173521747)","1","Manhattan","105","4","75","28","12",,"6 Avenue","6 Avenue","W 40 Street","W 42 Street","E","2025-10-23T00:00:00.000","Color: Leaning Bar ()","LEANING BAR","40.75388","-73.984629","SEAT.2025.0637","Midtown-Times Square","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-74.16528051107923 40.544101781998776)","5","Staten Island","503","51","62","24","11",,"3844 Richmond Avenue","Richmond Avenue","Sylvia Street","Mosley Avenue","W","2025-03-12T00:00:00.000","Color: Black ()","BACKED 2.0","40.54411","-74.165282","SEAT.2024.0586","Great Kills-Eltingville","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.91858682181437 40.69889653265222)","3","Brooklyn","304","37","53","18","7",,"452 Knickerbocker Avenue","Knickerbocker Avenue","Greene Avenue","Myrtle Avenue","S","2015-06-19T00:00:00.000","Color: Silver (BB1-2015-9001)","BACKED 1.0","40.69890479","-73.91858824","SEAT.2015.0123","Bushwick (West)","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.75356463934861 40.6032157565449)","4","Queens","414","31","31","10","5",,"10-31 Beach 20th Street","Plaza","Beach 20 Street","Beach 21 Street",,"2015-12-09T00:00:00.000","Color: Silver (BB1-2015-1674)","BACKED 1.0","40.603224","-73.753566","SEAT.2015.0204","Far Rockaway-Bayswater","X","AREA OF MINIMAL FLOOD HAZARD","1"
"POINT (-73.94017156703781 40.80940872266819)","1","Manhattan","110","9","70","30","13",,"2112 5 Avenue","5 Avenue","W 130 Street","W 129 Street","W","2025-05-31T00:00:00.000","Color: Black ()","BACKLESS 2.0","40.809417","-73.940173","SEAT.2024.0693","Harlem (North)","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.97585256308841 40.68698974733688)","3","Brooklyn","302","35","57","26","8",,"650 Fulton Street","Plaza","Fulton Street","Lafayette Avenue",,"2018-05-16T00:00:00.000","Color: Silver (BL2-2018-0282)","BACKLESS 2.0","40.686998","-73.975854","SEAT.2018.0134","Fort Greene","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.87971893292946 40.66138630517652)","3","Brooklyn","305","42","60","19","8",,"797 Stanley Avenue","Ashford Street","Stanley Avenue","Linden Boulevard","E","2013-04-03T00:00:00.000","Color: Silver (BL1-2013-0341)","BACKLESS 1.0","40.66139456","-73.87972034","SEAT.2013.0178","East New York-New Lots","X","AREA OF MINIMAL FLOOD HAZARD","3"
"POINT (-73.94323556597452 40.81058772254975)","1","Manhattan","110","9","70","30","13",,"380 Lenox Avenue","Lenox Avenue","W 129 Street","W 130 Street","E","2025-10-06T00:00:00.000","Color: Black ()","BACKLESS 2.0","40.810596","-73.943237","SEAT.2024.0275","Harlem (North)","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.98771570201023 40.660054510451864)","3","Brooklyn","307","39","51","20","10",,"544 7 Avenue","7 Avenue","18 Street","19 Street","W","2013-05-09T00:00:00.000",,"BACKLESS 1.0","40.66006276","-73.98771714","SEAT.2013.0250","Sunset Park (West)","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.92043658516715 40.61096376099124)","3","Brooklyn","318","46","59","21","8",,"5100 Kings Plaza","Avenue U","Flatbush Avenue","E 55 Street","S","2023-09-11T00:00:00.000","Color: Black (BL2-2023-1923)","BACKLESS 2.0","40.610972","-73.920438","SEAT.2023.0774","Marine Park-Mill Basin-Bergen Beach","X","AREA OF MINIMAL FLOOD HAZARD","1"
"POINT (-73.93240956633775 40.856891712865426)","1","Manhattan","112","10","72","31","13",,"4460 Broadway","Broadway","Fairview Avenue","W 193 Street","E","2025-08-28T00:00:00.000","Color: Black ()","BACKLESS 2.0","40.8569","-73.932411","SEAT.2025.0421","Washington Heights (North)","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.85748559227895 40.821977717314006)","2","Bronx","209","18","87","34","14",,"1950 Lafayette Avenue","Lafayette Avenue","White Plains Road","Stickball Boulevard","S","2025-03-20T00:00:00.000","Color: Black ()","BACKED 2.0","40.821986","-73.857487","SEAT.2024.0418","Soundview-Clason Point","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.92872537425495 40.65849581662876)","3","Brooklyn","317","41","58","20","9",,"905 Winthrop Street","Winthrop Street","E 52 Street","E 53 Street","N","2017-06-29T00:00:00.000","Color: Silver (BB1-2017-0105)","BACKED 1.0","40.65850407","-73.9287268","SEAT.2017.0135","East Flatbush-Rugby","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.99994855747559 40.64460375681046)","3","Brooklyn","312","38","51","17","10",,"4317 8 Avenue","8 Avenue","44 Street","43 Street","E","2025-03-26T00:00:00.000","Color: Black ()","BACKLESS 2.0","40.644612","-73.99995","SEAT.2024.0089","Sunset Park (East)-Borough Park (West)","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.88710758813716 40.73020573582284)","4","Queens","405","30","30","12","6",,"74-08 Grand Avenue","Grand Avenue","74 Street","80 Street","S","2023-09-02T00:00:00.000","Color: Black (BL2-2023-1807)","BACKLESS 2.0","40.730214","-73.887109","SEAT.2023.0748","Elmhurst","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.94705656504088 40.81039572279364)","1","Manhattan","110","9","70","30","13",,"2143 Adam Clayton Powell Jr Blvd","Adam Clayton Powell, Jr. Boulevard","W 127 Street","W 128 Street","E","2013-11-08T00:00:00.000","Color: Black ()","BACKLESS 2.0","40.810404","-73.947058","SEAT.2013.0481","Harlem (North)","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.95010505933324 40.82638813405425)","1","Manhattan","109","7","71","30","13",,"592 W 145th Street","W 145 Street","Amsterdam Avenue","Broadway","N","2017-02-14T00:00:00.000","Color: Black ()","BACKLESS 1.0","40.82639641","-73.9501065","SEAT.2017.0042","Hamilton Heights-Sugar Hill","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.96584645602717 40.687342656138796)","3","Brooklyn","302","35","57","25","8",,"380 Washington Avenue","Washington Avenue","Greene Avenue","Lafayette Avenue","W","2013-01-15T00:00:00.000","Color: Silver (BB1-2013-0379)","BACKED 1.0","40.68735091","-73.96584789","SEAT.2013.0036","Clinton Hill","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.88349516127586 40.75606430175239)","4","Queens","403","25","34","13","14",,"32-67 84 Street","84 Street","Northern Boulevard","32 Avenue","E","2013-12-05T00:00:00.000","Color: Silver (BB1-2013-1102)","BACKED 1.0","40.75607257","-73.88349657","SEAT.2013.0515","Jackson Heights","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.77071640128158 40.67270492840995)","4","Queens","412","28","32","10","5",,"169-09 137 Avenue","137 Avenue","170 Street","169 Street","N","2013-02-05T00:00:00.000","Color: Silver (BB1-2013-1582)","BACKED 1.0","40.67271319","-73.77071777","SEAT.2013.0087","Springfield Gardens (North)-Rochdale Village","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.92191557602311 40.76024873134745)","4","Queens","401","22","36","59","14",,"35-10 Broadway","Broadway","35 Street","36 Street","S","2025-02-27T00:00:00.000","Color: Black ()","BACKLESS 2.0","40.760257","-73.921917","SEAT.2024.0681","Astoria (Central)","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.92796432123319 40.626174171690515)","3","Brooklyn","318","45","41","21","9",,"4915 Flatlands Ave","Flatlands Avenue","Utica Avenue","E 49 Street","N","2018-09-13T00:00:00.000","Color: Silver (BB1-2018-0095)","BACKED 1.0","40.62618241","-73.92796574","SEAT.2018.0195","Flatlands","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.92009669203411 40.84740004187862)","2","Bronx","205","14","86","31","15",,"1605 University Avenue","University Avenue","W 174 Street","W 175 Street","W","2014-02-04T00:00:00.000","Color: Silver (BB1-2014-0978)","BACKED 1.0","40.84740833","-73.92009812","SEAT.2014.0027","University Heights (South)-Morris Heights","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.92344149937797 40.825766309779)","2","Bronx","204","16","84","29","15",,"851 Grand Concourse","Grand Concourse","158 Street","159 Street",,"2016-05-05T00:00:00.000","Color: Silver (BB1-2016-3299)","BACKED 1.0","40.82577459","-73.92344293","SEAT.2016.0028","Concourse-Concourse Village","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.86978252059606 40.67578170972047)","3","Brooklyn","305","42","54","19","7",,"2781 Pitkin Avenue","Pitkin Avenue","Crescent Street","Hemlock Street","N","2014-10-08T00:00:00.000","Color: Silver (BB1-2014-1442)","BACKED 1.0","40.67578996","-73.86978392","SEAT.2014.0290","East New York-City Line","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.83160160390356 40.767750726984644)","4","Queens","407","20","40","16","6",,"136-06 32 Avenue","32 Avenue","Linden Place","137 Street","S","2023-03-30T00:00:00.000","Color: Silver (BB1-2023-2329)","BACKED 1.0","40.767759","-73.831603","SEAT.2023.0032","Flushing-Willets Point","AE",,"3"
