"the_geom","borocode","boroname","borocd","coundist","assemdist","stsendist","congdist","category","nearest_add","on_street","from_street","to_street","side_of_st","installation_date","asset_id","asset_subtype","latitude","longitude","siteid","ntaname","femafldz","femafldt","hrcevac"
"POINT (-73.82366560730819 40.754478729321086)","4","Queens","407","20","40","16","6",,"43-44 Kissena Boulevard","Kissena Boulevard","Ash Avenue","Beech Avenue","W","2023-11-27T00:00:00.000","Color: Black (BL2-2023-1945)","BACKLESS 2.0","40.754487","-73.823667","SEAT.2023.0277","Flushing-Willets Point","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.9908331951273 40.6639582735686)","3","Brooklyn","307","38","51","26","10",,"596 5 Avenue","5 Avenue","Prospect Avenue","16 Avenue","E","2017-03-07T00:00:00.000","Color: Silver (BB2-2017-0042)","BACKED 2.0","40.66396652","-73.99083464","SEAT.2017.0047","Sunset Park (West)","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.90251472997919 40.745564488336015)","4","Queens","402","26","30","12","6",,"61-24 Roosevelt Avenue","Roosevelt Avenue","61 Street","63 Street","S","2019-01-24T00:00:00.000","Color: Leaning Bar (LB-Unkn-036)","LEANING BAR","40.74557276","-73.90251615","SEAT.2019.0009","Woodside","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.98321956434488 40.619654760914656)","3","Brooklyn","312","44","48","22","9",,"1973 60 Street","60 Street","20 Avenue","19 Avenue","N","2023-10-04T00:00:00.000","Color: Black (BL2-2023-1308)","BACKLESS 2.0","40.619663","-73.983221","SEAT.2023.0433","Mapleton-Midwood (West)","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.8303908292074 40.8827101569925)","2","Bronx","212","12","83","36","16",,"3441 Steenwick Avenue","Reeds Mill Lane","Reeds Mill Lane","Boston Road","N","2017-06-28T00:00:00.000","Color: Silver (BB1-Unkn-27)","BACKED 1.0","40.88271845","-73.83039223","SEAT.2017.0127","Eastchester-Edenwald-Baychester","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.95875848495125 40.66825855241717)","3","Brooklyn","309","35","57","20","9",,"895 Franklin Avenue","Franklin Avenue","Carroll Street","President Street",,"2013-11-26T00:00:00.000","Color: Silver (BB1-2013-0581)","BACKED 1.0","40.6682668","-73.95875992","SEAT.2013.0493","Crown Heights (South)","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.91277057240505 40.85298871308195)","2","Bronx","205","14","86","31","13",,"1910 University Avenue","University Avenue","Morton Place","W 179 Street","E","2024-06-05T00:00:00.000","Color: Leaning Bar (LB-EMP2023-0023)","LEANING BAR","40.852997","-73.912772","SEAT.2024.0353","University Heights (South)-Morris Heights","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.97562168369845 40.72407356750599)","1","Manhattan","103","2","74","27","10",,"118 Avenue D","Avenue D","E 6 Street","E 10 Street","E","2015-04-17T00:00:00.000","Color: Silver (BL1-2015-1008)","BACKLESS 1.0","40.72408183","-73.97562312","SEAT.2015.0103","East Village","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","1"
"POINT (-73.92940952587901 40.855017122761254)","1","Manhattan","112","10","72","31","13",,"1602 St. Nicholas Avenue","St. Nicholas Avenue","W 191 Street","W 190 Street","E","2017-08-01T00:00:00.000","Color: Silver (BB1-2017-0229)","BACKED 1.0","40.85502541","-73.92941096","SEAT.2017.0194","Washington Heights (North)","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.9521551511432 40.798390901208)","1","Manhattan","110","9","68","30","13",,"8 Lenox Avenue","Lenox Avenue","Central Park North","W 111 Street","E","2013-05-06T00:00:00.000","Color: Silver (BB1-2013-0551)","BACKED 1.0","40.79839918","-73.95215659","SEAT.2013.0237","Harlem (South)","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-74.02407855075808 40.62057476212903)","3","Brooklyn","310","47","46","26","11",,"8523 Fort Hamilton Parkway","Fort Hamilton Parkway","86 Street","85 Street","E","2024-11-22T00:00:00.000","Color: Leaning Bar ()","LEANING BAR","40.620583","-74.02408","SEAT.2024.0538","Bay Ridge","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.94088539014876 40.61971126025359)","3","Brooklyn","318","45","41","21","9",,"3426 Kings Highway","Kings Highway","Avenue M","E 35 Street",,"2017-05-06T00:00:00.000","Color: Silver (BB2-2017-0047)","BACKED 2.0","40.6197195","-73.94088681","SEAT.2017.0081","Flatlands","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.94508829573373 40.79399231774854)","1","Manhattan","111","8","68","29","13",,"1744 Lexington Avenue","Lexington Avenue","E 109 Street","E 108 Street","W","2012-10-05T00:00:00.000","Color: Silver (BB1-2012-0222)","BACKED 1.0","40.79400059","-73.94508973","SEAT.2012.0155","East Harlem (South)","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","3"
"POINT (-73.86276658576737 40.90102170189696)","2","Bronx","212","11","81","36","15",,"4380 Vireo Avenue","Vireo Avenue","McLean Avenue","E 236 Street","E","2025-06-24T00:00:00.000","Color: Black ()","BACKED 2.0","40.90103","-73.862768","SEAT.2024.0692","Wakefield-Woodlawn","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.8967605753918 40.901213703285734)","2","Bronx","226","11","81","33","15",,"Broadway","Broadway","W 254 Street","Henry Hudson Parkway Off Ramp","E","2022-05-12T00:00:00.000","Color: Leaning Bar (LB-2020-011)","LEANING BAR","40.901222","-73.896762","SEAT.2022.0013","Van Cortlandt Park","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.95558865948342 40.62222288474263)","3","Brooklyn","314","45","42","22","9",,"1625 Ocean Avenue","Ocean Avenue","Avenue L","Avenue K",,"2016-07-05T00:00:00.000","Color: Silver (BB1-2016-1723)","BACKED 1.0","40.62223113","-73.95559009","SEAT.2016.0094","Midwood","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.98383990250437 40.729826671674445)","1","Manhattan","103","2","66","27","10",,"185 1st Avenue","1 Avenue","E 11 Street","E 12 Street","W","2016-06-02T00:00:00.000","Color: Silver (BB1-2016-2012)","BACKED 1.0","40.72983493","-73.98384134","SEAT.2016.0068","East Village","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.94239357367425 40.69073674604043)","3","Brooklyn","303","36","56","25","8",,"766 Lafayette Avenue","Throop Avenue","Van Buren Street","Lafayette Avenue","E","2023-09-19T00:00:00.000","Color: Black (BL2-2023-1045)","BACKLESS 2.0","40.690745","-73.942395","SEAT.2023.0824","Bedford-Stuyvesant (East)","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.98382556000013 40.69204574694248)","3","Brooklyn","302","33","52","26","10",,,"Willoughby Avenue","Albee Square West","Duffield Street","S","2023-07-30T00:00:00.000","Color: Black (BB2-2023-1578)","BACKED 2.0","40.692054","-73.983827","SEAT.2023.0838","Downtown Brooklyn-DUMBO-Boerum Hill","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.9827835592585 40.71486674229809)","1","Manhattan","103","1","65","27","10",,"500 Grand Street","Grand Street","Columbia Street","Willett Street","N","2025-11-07T00:00:00.000","Color: Black ()","BACKED 2.0","40.714875","-73.982785","SEAT.2025.0160","Lower East Side","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.8971605783334 40.84441071418211)","2","Bronx","206","15","86","32","15",,"3 Avenue","3 Avenue","E 175 Street","E Tremont Avenue","E","2026-03-19T00:00:00.000","Color: Black ()","BACKLESS 2.0","40.844419","-73.897162","SEAT.2026.0130","Tremont","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.96613019958241 40.64983319321031)","3","Brooklyn","314","40","42","21","9",,"18 Marlborough Road","Marlborough Road","Caton Avenue","Church Avenue",,"2014-07-24T00:00:00.000","Color: Silver (BB1-2014-1204)","BACKED 1.0","40.64984144","-73.96613163","SEAT.2014.0199","Flatbush (West)-Ditmas Park-Parkville","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.75379563908075 40.60461175634758)","4","Queens","414","31","31","10","5",,"21-07 Mott Avenue","Mott Avenue","Beach 22 Street","Beach 21 Street","S","2022-11-01T00:00:00.000","Color: Silver (BB2-2023-1626)","BACKED 2.0","40.60462","-73.753797","SEAT.2022.0042","Far Rockaway-Bayswater","X","AREA OF MINIMAL FLOOD HAZARD","1"
"POINT (-73.91858455164953 40.7434619856248)","4","Queens","402","26","37","12","7",,"46-01 Queens Blvd","46 Street","Queens Boulevard","43 Avenue","E","2012-09-11T00:00:00.000","Color: Silver (BB1-2012-0184)","BACKED 1.0","40.74347025","-73.91858597","SEAT.2012.0111","Sunnyside","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.75286663861341 40.60444175596889)","4","Queens","414","31","31","10","5",,"17-20 Village Lane","Central Avenue","Bayport Place","Mott Avenue","W","2023-05-23T00:00:00.000","Color: Silver (BB2-2023-1621)","BACKED 2.0","40.60445","-73.752868","SEAT.2022.0037","Far Rockaway-Bayswater","X","AREA OF MINIMAL FLOOD HAZARD","1"
"POINT (-73.83156859936689 40.84718271119497)","2","Bronx","210","13","82","34","14",,"3008 Buhre Avenue","Buhre Avenue","Crosby Avenue","Hobart Avenue","S","2025-11-12T00:00:00.000","Color: Black ()","BACKED 2.0","40.847191","-73.83157","SEAT.2025.0090","Pelham Bay-Country Club-City Island","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.93727156572008 40.84814571462227)","1","Manhattan","112","10","72","31","13",,"W 178 street & Broadway","W 178 Street","Broadway","Wadsworth Avenue","S","2023-08-14T00:00:00.000","Color: Black (BL2-2023-1594)","BACKLESS 2.0","40.848154","-73.937273","SEAT.2023.0567","Washington Heights (South)","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.83809960711791 40.67982274443639)","4","Queens","410","28","23","15","5",,"101-21 Rockaway Boulevard","Rockaway Boulevard","102 Street","101 Street","N","2023-08-09T00:00:00.000","Color: Black (BL2-2023-1363)","BACKLESS 2.0","40.679831","-73.838101","SEAT.2023.0607","South Ozone Park","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.94492604209279 40.78701553021796)","1","Manhattan","111","8","68","29","13",,"1952 2nd Avenue","2 Avenue","E 101 Street","E 100 Street","E","2017-07-05T00:00:00.000","Color: Silver (BB2-2017-0179)","BACKED 2.0","40.7870238","-73.94492748","SEAT.2017.0175","East Harlem (South)","X","AREA OF MINIMAL FLOOD HAZARD","2"
"POINT (-73.98268955743522 40.74035473743259)","1","Manhattan","106","2","74","59","12",,"157 E 25 Street","E 25 Street","3 Avenue","Lexington Avenue",,"2021-10-01T00:00:00.000","Color: Silver (BB-2021-1999)","BACKED 2.0","40.740363","-73.982691","SEAT.2021.0022","Gramercy","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.97547903201253 40.68688599671934)","3","Brooklyn","302","35","57","26","8",,"650 Fulton Street","Plaza","Fulton Street","Lafayette Avenue","N","2018-05-16T00:00:00.000","Color: Silver (BL2-2018-0367)","BACKLESS 2.0","40.68689425","-73.97548047","SEAT.2018.0135","Fort Greene","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.91006758727988 40.63743575528456)","3","Brooklyn","318","46","59","19","8",,"8408 Flatlands Avenue","Flatlands Avenue","E 84 Street","E 85 Street","S","2025-05-06T00:00:00.000","Color: Black ()","BACKLESS 2.0","40.637444","-73.910069","SEAT.2024.0566","Canarsie","X","AREA OF MINIMAL FLOOD HAZARD","3"
"POINT (-73.82949661628541 40.58211176352375)","4","Queens","414","32","23","10","5",,"10640 Rockaway Beach Boulevard","Rockaway Beach Boulevard","Beach 106 Street","Beach 108 Street","N","2023-05-11T00:00:00.000","Color: Black (BB2-2023-1010)","BACKED 2.0","40.58212","-73.829498","SEAT.2023.0382","Breezy Point-Belle Harbor-Rockaway Park-Broad Channel","X","AREA OF MINIMAL FLOOD HAZARD","1"
"POINT (-73.89966801701351 40.873600470700765)","2","Bronx","208","14","81","31","13",,"2865 Claflin Avenue","Claflin Avenue","W 179 Street","Reservoir Avenue","W","2019-04-04T00:00:00.000","Color: Silver (BB2-2019-0492)","BACKED 2.0","40.87360876","-73.89966944","SEAT.2019.0065","Kingsbridge Heights-Van Cortlandt Village","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.89107558139514 40.821047718392414)","2","Bronx","202","17","85","32","14",,"1047 E 163rd Street","E 163 Street","Hoe Avenue","Southern Boulevard","N","2026-03-16T00:00:00.000","Color: Black ()","BACKLESS 2.0","40.821056","-73.891077","SEAT.2026.0069","Longwood","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.89851163356668 40.85152782393471)","2","Bronx","206","15","86","32","15",,"2042 Webster Avenue","Webster Avenue","E 179 Street","E 180 Street","E","2023-08-29T00:00:00.000","Color: Black (BL2-2023-1889)","BACKLESS 2.0","40.85153611","-73.89851306","SEAT.2023.0213","Mount Hope","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.91868658547314 40.61220576044455)","3","Brooklyn","318","46","59","21","8",,"5602 Avenue U","Avenue U","E 55 Street","Mill Avenue","S","2023-09-11T00:00:00.000","Color: Black (BL2-2023-1212)","BACKLESS 2.0","40.612214","-73.918688","SEAT.2023.0779","Marine Park-Mill Basin-Bergen Beach","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","1"
"POINT (-73.9908059834817 40.768291701979585)","1","Manhattan","104","6","67","47","12",,"530 W 55 Street","W 55 Street","10 Avenue","11 Avenue","S","2014-01-15T00:00:00.000","Color: Silver (BB1-2014-1058)","BACKED 1.0","40.76829997","-73.99080743","SEAT.2014.0021","Hell's Kitchen","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.9358080101453 40.601011738823445)","3","Brooklyn","315","46","41","22","8",,"3082 Avenue U","Avenue U","Bragg Street","Brigham Street",,"2018-01-24T00:00:00.000","Color: Silver (BB2-2018-0300)","BACKED 2.0","40.60101998","-73.93580943","SEAT.2018.0047","Sheepshead Bay-Manhattan Beach-Gerritsen Beach","X","AREA OF MINIMAL FLOOD HAZARD","2"
"POINT (-73.75328663869301 40.60318775621465)","4","Queens","414","31","31","10","5",,"10-31 Beach 20th Street","Plaza","Beach 20 Street","Beach 21 Street",,"2015-12-09T00:00:00.000","Color: Silver (BB1-2015-1849)","BACKED 1.0","40.603196","-73.753288","SEAT.2015.0200","Far Rockaway-Bayswater","X","AREA OF MINIMAL FLOOD HAZARD","1"
"POINT (-73.78011008792687 40.75331999410588)","4","Queens","411","20","25","16","6",,"47-01 Francis Lewis Boulevard","47 Avenue","Francis Lewis Boulevard","Weeks Lane","S","2013-04-12T00:00:00.000","Color: Silver (BL1-2013-0533)","BACKLESS 1.0","40.75332827","-73.78011147","SEAT.2013.0210","Auburndale","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.82345640186948 40.583883041186276)","4","Queens","414","32","23","10","5",,"102-04 Rockaway Beach Blvd","Rockaway Beach Boulevard","Beach 102 Street","Beach 105 Street","N","2019-01-31T00:00:00.000","Color: Leaning Bar (LB-Unkn-049)","LEANING BAR","40.58389128","-73.82345778","SEAT.2019.0023","Breezy Point-Belle Harbor-Rockaway Park-Broad Channel","X","AREA OF MINIMAL FLOOD HAZARD","1"
"POINT (-73.95252556196984 40.819123721190124)","1","Manhattan","109","7","70","30","13",,"501 W 135 Street","W 135 Street","Amsterdam Avenue","Broadway","N","2025-10-15T00:00:00.000","Color: Black ()","BACKLESS 2.0","40.819132","-73.952527","SEAT.2025.0658","Manhattanville-West Harlem","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-74.00693055583709 40.63814575860473)","3","Brooklyn","307","43","49","17","10",,"5512 8 Avenue","8 Avenue","55 Street","56 Street","W","2024-03-24T00:00:00.000","Color: Black (BL2-2023-1838)","BACKLESS 2.0","40.638154","-74.006932","SEAT.2024.0044","Sunset Park (Central)","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.94857356775594 40.74842873421715)","4","Queens","402","26","36","59","7",,"11-11 44 Drive","44 Drive","21 Street","11 Street","N","2025-02-27T00:00:00.000","Color: Black ()","BACKED 2.0","40.748437","-73.948575","SEAT.2024.0675","Long Island City-Hunters Point","X","AREA OF MINIMAL FLOOD HAZARD","3"
"POINT (-73.96806306082122 40.635124936331486)","3","Brooklyn","312","40","44","21","9",,"3714 18th Avenue","18 Avenue","Coney Island Avenue","E 9 Street","N","2016-10-29T00:00:00.000","Color: Silver ()","BACKLESS 1.0","40.63513318","-73.96806449","SEAT.2016.0151","Flatbush (West)-Ditmas Park-Parkville","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.9262702258941 40.757146237436416)","4","Queens","401","26","36","59","7",,"33-09 35 Avenue","35 Avenue","33 Street","34 Street",,"2014-11-06T00:00:00.000","Color: Silver (BB1-2014-1557)","BACKED 1.0","40.75715451","-73.92627165","SEAT.2014.0309","Astoria (Central)","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.76912140440277 40.672922804190115)","4","Queens","412","28","32","10","5",,"171-05 137th Avenue","137 Avenue","171 Street","172 Street",,"2014-12-11T00:00:00.000","Color: Silver (BB1-2014-0360)","BACKED 1.0","40.67293106","-73.76912277","SEAT.2014.0383","Springfield Gardens (North)-Rochdale Village","X","AREA OF MINIMAL FLOOD HAZARD","4"
