"tree_id","latitude","longitude","tree_dbh","spc_common","health"
"182261","40.74638074","-73.99121011","2","Sophora","Fair"
"73491","40.73475714","-73.99665054","26","black walnut","Good"
"174071","40.71147264","-74.00095796","13","honeylocust","Good"
"194292","40.72045806","-73.98152123","16","American elm","Good"
"174238","40.70824405","-74.00030329","4","American elm","Good"
"206380","40.73806847","-73.98061081","9","honeylocust","Good"
"195250","40.73593186","-73.99969807","7","ginkgo","Fair"
"176843","40.74013566","-73.97744075","15","mulberry","Good"
"198336","40.74421095","-73.98029836","13","pin oak","Fair"
"172417","40.73042497","-73.98339589","3","sawtooth oak","Good"
"173201","40.73630834","-74.00351888","9","Sophora","Good"
"195254","40.73610497","-74.00010868","12","Sophora","Good"
"182330","40.74571646","-73.99089075","4","littleleaf linden","Fair"
"178626","40.74739401","-73.97887588","8","pin oak","Fair"
"173736","40.73705119","-74.00249972","10","green ash","Good"
"190777","40.71526804","-73.99648919","4","cherry","Fair"
"73131","40.72824277","-73.99403662","2","black locust","Good"
"122881","40.70200906","-73.98958905","4","golden raintree","Good"
"206712","40.73903559","-73.97792121","7","Callery pear","Good"
"190649","40.7142441","-73.99595024","4","cherry","Good"
"194258","40.72047678","-73.98234968","11","littleleaf linden","Good"
"176840","40.74029318","-73.97732608","2",,
"173697","40.72043227","-73.98442478","14","Callery pear","Fair"
"160786","40.72879706","-73.97882248","3","Amur maple","Good"
"177220","40.73835063","-73.98178513","4","littleleaf linden","Poor"
"180420","40.72446545","-73.97444388","0",,
"178670","40.74403913","-73.98132351","9","green ash","Good"
"178579","40.7483552","-73.97817576","0",,
"178628","40.74725406","-73.97897864","8","pin oak","Good"
"200220","40.71257012","-73.99801944","3","ginkgo","Good"
"201412","40.72295615","-73.99041218","14","honeylocust","Fair"
"201414","40.72269797","-73.99054489","4","ginkgo","Good"
"178648","40.74540176","-73.9803292","5","ginkgo","Good"
"195996","40.74491073","-73.98608852","3","honeylocust","Fair"
"201413","40.72288457","-73.99044897","18","honeylocust","Fair"
"195534","40.7352826","-74.00020241","14","Sophora","Fair"
"173632","40.73603877","-74.00412395","10","green ash","Good"
"173732","40.736984","-74.00296704","13","green ash","Good"
"191457","40.72134835","-73.98342667","12","white ash","Good"
"115829","40.74605142","-74.00179339","2","golden raintree","Good"
"178649","40.74524219","-73.98044348","4","ginkgo","Poor"
"196032","40.74659951","-73.98042948","12","Sophora","Fair"
"200219","40.7125065","-73.99799997","4","ginkgo","Good"
"173518","40.73521422","-74.00574681","14","ginkgo","Good"
"173520","40.73526702","-74.00539051","7","ginkgo","Good"
"198115","40.74460366","-73.98150895","11","littleleaf linden","Good"
"160779","40.72925837","-73.97991368","10","littleleaf linden","Good"
"178625","40.74747069","-73.97881957","7","pin oak","Fair"
"174073","40.71137865","-74.00093016","10","honeylocust","Good"
"176352","40.73608757","-73.98049342","8","Callery pear","Fair"
"196026","40.7468674","-73.98106569","4","Callery pear","Poor"
"73247","40.72658437","-73.99887375","3","golden raintree","Good"
"172391","40.72441136","-73.98349573","6","Sophora","Good"
"194682","40.7370324","-74.00005881","5","littleleaf linden","Poor"
"197939","40.74922128","-73.9768446","14","Callery pear","Good"
"194294","40.72017629","-73.98166276","23","American elm","Good"
"173527","40.73687667","-74.00309731","12","London planetree","Good"
"173529","40.73692076","-74.00279391","20","willow oak","Good"
"118639","40.72074327","-73.98632621","5","golden raintree","Good"
"122883","40.70189446","-73.9895964","4","golden raintree","Good"
"192664","40.71805912","-73.9909675","7","pin oak","Good"
"174082","40.71062903","-74.00092319","8","honeylocust","Good"
"173519","40.73523731","-74.00559098","8","ginkgo","Good"
"196375","40.71666827","-73.99164282","2",,
"196403","40.71597009","-73.99199598","16","London planetree","Good"
"176583","40.73658413","-73.98003215","2","Kentucky coffeetree","Good"
"178574","40.74871474","-73.97791498","9","willow oak","Good"
"194251","40.7198551","-73.98266723","16","littleleaf linden","Good"
"176355","40.73577654","-73.97975879","11","honeylocust","Good"
"170022","40.71003947","-74.01218125","3","honeylocust","Good"
"200223","40.71300638","-73.99815301","3","ginkgo","Good"
"176351","40.73613029","-73.98059431","9","Callery pear","Good"
"176353","40.73603551","-73.98037045","9","Callery pear","Poor"
"173659","40.736464","-74.00365823","16","honeylocust","Good"
"174076","40.7111259","-74.00079226","4","honeylocust","Good"
"176354","40.73589","-73.98002679","11","honeylocust","Good"
"173521","40.73528675","-74.00525734","10","ginkgo","Poor"
"178571","40.74913941","-73.97760632","12","American elm","Good"
"196402","40.71605719","-73.99195197","17","London planetree","Fair"
"160783","40.72897625","-73.97924634","11","pin oak","Fair"
"174083","40.71058018","-74.00095987","8","honeylocust","Good"
"103184","40.72921156","-73.9853541","8","Japanese tree lilac","Good"
"94988","40.73817279","-74.0066445","15","Siberian elm","Good"
"192502","40.73522642","-74.00106854","5","Callery pear","Good"
"84122","40.7131261","-73.98846856","3","Chinese chestnut","Fair"
"84371","40.71064673","-73.98593279","21","weeping willow","Fair"
"198340","40.74403322","-73.97987581","12","pin oak","Good"
"160747","40.73080573","-73.98592896","10","honeylocust","Good"
"178867","40.71373185","-73.97890761","8","cherry","Good"
"182259","40.74700749","-73.99270876","4","Sophora","Good"
"209603","40.72607101","-74.00141398","8","Sophora","Good"
"201415","40.72262895","-73.99058037","6","Sophora","Fair"
"194162","40.71960689","-73.98259125","4","cherry","Good"
"211687","40.72975033","-74.00406977","5",,
"144165","40.72343984","-73.994671","11","golden raintree","Good"
"172388","40.72414133","-73.98285511","2","Sophora","Fair"
"176841","40.74025236","-73.9773558","15","mulberry","Good"
"73349","40.73484681","-73.995151","13","black walnut","Good"
"173691","40.72095115","-73.98416394","18","Callery pear","Good"
"202335","40.72706628","-73.9913149","19","Callery pear","Good"
"206713","40.73900443","-73.97784655","8","Callery pear","Fair"
"206715","40.73896561","-73.97775354","6","Callery pear","Good"
"178853","40.71381573","-73.9773638","2","southern magnolia","Fair"
"175457","40.72889574","-73.97876658","11","pin oak","Good"
"163825","40.72319539","-73.97842859","4","pin oak","Good"
"200217","40.71215845","-73.99789341","3","ginkgo","Good"
"174081","40.71067765","-74.00088669","8","honeylocust","Good"
"203260","40.73332564","-73.98528062","5","littleleaf linden","Good"
"102348","40.72833655","-73.98168446","14","black locust","Good"
"196405","40.71578511","-73.99208944","14","London planetree","Good"
"192501","40.73523725","-74.00099706","18","Callery pear","Good"
"175335","40.74820468","-73.98622761","2","river birch","Good"
"175452","40.7292061","-73.97950244","12","green ash","Good"
"173827","40.73569261","-74.00333878","2","ginkgo","Good"
"196686","40.71147735","-73.99231298","13","London planetree","Good"
"168674","40.72888877","-73.97697363","2","golden raintree","Good"
"177829","40.72203666","-74.00053654","4","American linden","Fair"
"204920","40.73663365","-73.97771678","6","littleleaf linden","Fair"
"173885","40.72010473","-73.98362954","6","honeylocust","Good"
"206702","40.73937689","-73.97873901","12","honeylocust","Good"
"196685","40.7113977","-73.99230121","14","willow oak","Good"
"178405","40.73315593","-73.97573348","16","London planetree","Fair"
"211690","40.72960397","-74.00453604","13","honeylocust","Good"
"178404","40.73320114","-73.97584039","18","London planetree","Fair"
"173522","40.73529787","-74.00518225","11","ginkgo","Fair"
"173473","40.7361777","-74.00387646","15","honeylocust","Good"
"173631","40.73602867","-74.00419709","8","green ash","Good"
"177076","40.73595577","-73.97656582","9","green ash","Good"
"174074","40.71123161","-74.00085796","10","honeylocust","Good"
"204949","40.73598321","-73.97520909","0",,
"173826","40.73577249","-74.00336196","2","ginkgo","Good"
"206697","40.73963673","-73.97936162","11","honeylocust","Good"
"206699","40.73955698","-73.97917053","12","honeylocust","Good"
"206418","40.73829461","-73.97996779","9","honeylocust","Good"
"195997","40.7449453","-73.98617143","3","honeylocust","Fair"
"177827","40.72199801","-74.00045769","4","American linden","Poor"
"194105","40.72035172","-73.98253819","11","honeylocust","Good"
"194106","40.72041492","-73.98250593","14","honeylocust","Good"
"174085","40.71048365","-74.00103233","10","honeylocust","Good"
"175542","40.7283556","-73.97873074","13","ginkgo","Fair"
"196050","40.74664744","-73.98445741","2","ginkgo","Fair"
"177828","40.72201912","-74.00050075","4","American linden","Good"
"178406","40.73310979","-73.97562436","18","London planetree","Good"
"174080","40.71072627","-74.00085019","10","honeylocust","Good"
"211691","40.72957256","-74.0046361","9","honeylocust","Good"
"194107","40.72055769","-73.98243307","12","honeylocust","Good"
"174087","40.71038594","-74.00110569","11","honeylocust","Good"
"174305","40.72327017","-73.98566846","9","honeylocust","Poor"
"192330","40.74796711","-73.99525205","8","honeylocust","Good"
"198193","40.74470525","-73.98148869","10","Japanese zelkova","Good"
"206700","40.73952503","-73.97909397","12","honeylocust","Fair"
"198194","40.74466182","-73.98138501","7","northern red oak","Good"
"206489","40.73942097","-73.98072962","11","ginkgo","Poor"
"206581","40.73889317","-73.98111968","8","American linden","Fair"
"194104","40.72021841","-73.98260622","16","honeylocust","Good"
"202192","40.70648572","-74.00659163","2","honeylocust","Good"
"197448","40.74331987","-73.98010379","9","honeylocust","Good"
"201385","40.72312762","-73.98981908","7","honeylocust","Good"
"177232","40.73670459","-73.97881952","4","pin oak","Good"
"175545","40.72857716","-73.97857001","4","ginkgo","Good"
"206506","40.73900105","-73.97973807","8","honeylocust","Good"
"198335","40.74426449","-73.98042563","15","pin oak","Good"
"197454","40.74357702","-73.9807123","4","honeylocust","Good"
